node_entity_id,url,entity_type,entity_name,entity_role,source_field,extracted_value,normalized_value,confidence_score,extraction_method,status
086383b2-b930-4a28-b866-48913458b136,https://www.kenresearch.com/united-arab-emirates-acute-hospital-care-market,region,Middle East,region,title,"United Arab Emirates Acute Hospital Care Market Share, Companies & Trends Report 2025-2031",middle east,0.65,derived,extracted
4bfc1485-4cde-4f2a-8637-f57b97a859d3,https://www.kenresearch.com/united-arab-emirates-anime-movies-tv-shows-market,country,UAE,country,title,"United Arab Emirates Anime Movies TV Shows Market Share, Companies & Trends Report 2025-2031",uae,0.65,pattern,extracted
9fa6cdbf-9284-4b44-8a5d-841a990ea6af,https://www.kenresearch.com/united-arab-emirates-anime-movies-tv-shows-market,region,Middle East,region,title,"United Arab Emirates Anime Movies TV Shows Market Share, Companies & Trends Report 2025-2031",middle east,0.65,derived,extracted
da367ed1-f076-4175-a45f-7d30fd5a7641,https://www.kenresearch.com/united-arab-emirates-atomic-absorption-spectrometer-market,country,UAE,country,title,"United Arab Emirates Atomic Absorption Spectrometer Market Share, Companies & Trends Report 2025-2031",uae,0.65,pattern,extracted
0c00f03f-f503-4e59-b43e-ae4079893d5b,https://www.kenresearch.com/united-arab-emirates-atomic-absorption-spectrometer-market,region,Middle East,region,title,"United Arab Emirates Atomic Absorption Spectrometer Market Share, Companies & Trends Report 2025-2031",middle east,0.65,derived,extracted
f6d4e2b6-f3f6-43ac-8a13-a1b413cfb389,https://www.kenresearch.com/united-arab-emirates-long-term-care-private-insurance-market,country,UAE,country,title,"United Arab Emirates Long Term Care Private Insurance Market Share, Companies & Trends Report 2025-2031",uae,0.65,pattern,extracted
837150ad-c317-4805-98a0-40658876fe16,https://www.kenresearch.com/united-arab-emirates-long-term-care-private-insurance-market,region,Middle East,region,title,"United Arab Emirates Long Term Care Private Insurance Market Share, Companies & Trends Report 2025-2031",middle east,0.65,derived,extracted
1ad1b698-43af-4c54-9119-1287774efd13,https://www.kenresearch.com/united-arab-emirates-low-gwp-refrigerants-market,country,UAE,country,title,"United Arab Emirates Low GWP Refrigerants Market Share, Companies & Trends Report 2025-2031",uae,0.65,pattern,extracted
6e4f48c2-636a-491e-aee3-a89bcd43f82f,https://www.kenresearch.com/united-arab-emirates-low-gwp-refrigerants-market,region,Middle East,region,title,"United Arab Emirates Low GWP Refrigerants Market Share, Companies & Trends Report 2025-2031",middle east,0.65,derived,extracted
5cf97b9b-fe8c-4567-9457-3d183baf2af9,https://www.kenresearch.com/united-arab-emirates-thin-film-photovoltaics-pv-market,country,UAE,country,title,"United Arab Emirates Thin Film Photovoltaics PV Market Size USD 950 Million, Forecast To 2031",uae,0.65,pattern,extracted
35d0faf1-e870-4e22-81e9-d7a11e442d91,https://www.kenresearch.com/united-arab-emirates-thin-film-photovoltaics-pv-market,region,Middle East,region,title,"United Arab Emirates Thin Film Photovoltaics PV Market Size USD 950 Million, Forecast To 2031",middle east,0.65,derived,extracted
