recommendation_id,status,source_url,target_url,anchor_text,placement_type,suggested_sentence,relationship_type,link_score,score_band,risk_flag,validation_status,recommendation_reason,risk_reason
709984aa-8797-41e0-a978-b4a3020c1390,approved,https://www.kenresearch.com/articles/why-automation-is-cost-of-competing-malaysia-warehousing,https://www.kenresearch.com/articles/india-warehousing-market-future,India Warehousing Market,contextual_body,"The global AI warehousing market , valued at USD 11 billion in 2024 and projected to reach USD 45 billion by 2030 , reflects a structural shift toward intelligence-driven fulfilment as operators respond to tighter delivery SLAs, labour constraints, and e-commerce growth-pressures that closely mirror",same_market,60.9,hold,low,approved_for_review,why-automation-is-cost-of-competing-malaysia-warehousing and india-warehousing-market-future share a same market relationship (confidence 0.90); link with anchor 'India Warehousing Market' [hold].,
9454642c-915d-4876-9568-8fdf33559928,approved,https://www.kenresearch.com/vietnam-car-rental-mobility-solutions-market,https://www.kenresearch.com/case-studies/car-rental-market-entry-strategy-vs-risk-analysis,Global Car Rental Market,contextual_body,The Vietnam Car Rental & Mobility Solutions Market is worth USD 2.09 billion in 2025.,same_market,60.7,hold,low,approved_for_review,vietnam-car-rental-mobility-solutions-market and car-rental-market-entry-strategy-vs-risk-analysis share a same market relationship (confidence 0.90); link with anchor 'Global Car Rental Market' [hold].,
3e7f0ae8-2c09-4247-bec3-8ba25c778be9,approved,https://www.kenresearch.com/industry-reports/nigeria-lubricants-market,https://www.kenresearch.com/articles/uae-lubricants-market-5-players-reshaping-profitability,UAE Lubricants Market Outlook,contextual_body,"Value growth will exceed volume growth because premium engine oils, synthetic formulations, OEM-approved products and application-specific industrial lubricants command higher realizations than conventional mineral oils.",same_market,60.3,hold,low,approved_for_review,nigeria-lubricants-market and uae-lubricants-market-5-players-reshaping-profitability share a same market relationship (confidence 0.90); link with anchor 'UAE Lubricants Market' [hold].,
f30491e9-7a9d-4cb9-9311-6858a13d3c7f,approved,https://www.kenresearch.com/articles/saudi-hospitality-market-future,https://www.kenresearch.com/articles/oman-hospitality-market-occupancy-rising-60-percent,Oman Hospitality Market,contextual_body,"Saudi Arabia's Hospitality market is projected to reach 18 billion by 2030, representing a CAGR of 5.03% .",same_market,58.9,hold,low,approved_for_review,saudi-hospitality-market-future and oman-hospitality-market-occupancy-rising-60-percent share a same market relationship (confidence 0.90); link with anchor 'Oman Hospitality Market' [hold].,
8ea3e56c-d518-4ffa-b214-5d65ea3ba629,approved,https://www.kenresearch.com/turkey-nutritional-supplements-and-wellness-market,https://www.kenresearch.com/italy-nutritional-dietary-supplements-market,Italy Nutritional & Dietary Supplements Market,contextual_body,"The Turkey Nutritional Supplements and Wellness Market is poised for significant evolution, driven by increasing health awareness and technological advancements.",adjacent_market,58.5,hold,low,approved_for_review,turkey-nutritional-supplements-and-wellness-market and italy-nutritional-dietary-supplements-market share a adjacent market relationship (confidence 0.85); link with anchor 'Italy Nutritional & Dietary Supplements Market' [hold].,
63feef98-9568-40df-8ecb-42e4f3948a04,approved,https://www.kenresearch.com/case-studies/lubricant-market-demand-mapping-malaysia-insights,https://www.kenresearch.com/articles/uae-lubricants-market-5-players-reshaping-profitability,UAE Lubricants Market Analysis,contextual_body,"Between 2023 and 2024 , Malaysia's lubricants and chemicals market underwent significant change driven by industrial expansion, increased automotive demand, and rising sustainability requirements.",same_market,57.9,hold,low,approved_for_review,lubricant-market-demand-mapping-malaysia-insights and uae-lubricants-market-5-players-reshaping-profitability share a same market relationship (confidence 0.90); link with anchor 'UAE Lubricants Market' [hold].,
4eb626ea-6ccf-4cdd-b866-ae7dd0764a24,approved,https://www.kenresearch.com/south-africa-e-learning-and-skills-platforms-market,https://www.kenresearch.com/russia-e-learning-skills-platforms-market,Russia E-Learning & Skills Platforms Market,contextual_body,The South Africa E-Learning and Skills Platforms Market worth USD 1.2 billion in 2025 is growing at a CAGR of 12.75% to reach USD 2.47 billion by 2031.,adjacent_market,55.8,hold,low,approved_for_review,south-africa-e-learning-and-skills-platforms-market and russia-e-learning-skills-platforms-market share a adjacent market relationship (confidence 0.85); link with anchor 'Russia E-Learning & Skills Platforms Market' [hold].,
baa8e081-4d40-487d-a2b0-c88250f9fa16,approved,https://www.kenresearch.com/articles/uae-taxi-market-productivity-growth-revenue-outpaces-fleet,https://www.kenresearch.com/middle-east-ride-hailing-taxi-market,Middle East Ride Hailing Taxi Market,contextual_body,"The expatriate share of the population has increased to 90% in 2025, reflecting a highly mobile workforce with flexible transportation needs.",country_region,55.8,hold,low,approved_for_review,uae-taxi-market-productivity-growth-revenue-outpaces-fleet and middle-east-ride-hailing-taxi-market share a country region relationship (confidence 0.75); link with anchor 'Middle East Ride Hailing Taxi Market' [hold].,
ab82d7c3-432d-4862-95f1-d8f29e67d550,approved,https://www.kenresearch.com/articles/saudi-arabia-fitness-market-winner-strategy,https://www.kenresearch.com/case-studies/fitness-strategy-consulting-case-study-saudi-arabia,Saudi Arabia Fitness Market,contextual_body,"The Saudi Arabian fitness services market is witnessing rapid growth , evolving from a niche urban trend into a nationwide health and wellness ecosystem .",same_market,55.7,hold,low,approved_for_review,saudi-arabia-fitness-market-winner-strategy and fitness-strategy-consulting-case-study-saudi-arabia share a same market relationship (confidence 0.90); link with anchor 'Saudi Arabia Fitness Market' [hold].,
966b1d0e-b36d-4b29-983d-8f9d5754d721,approved,https://www.kenresearch.com/articles/indonesia-car-rental-leasing-market-b2b-ota-dominance,https://www.kenresearch.com/case-studies/car-rental-market-entry-strategy-vs-risk-analysis,Global Car Rental Market Outlook,contextual_body,"In effect, Indonesia's B2C industry rental market is consolidating around scalable digital ecosystems, where OTAs deliver reach and volume while rental apps strengthen direct control, making platform strategy, not physical presence, the key determinant of competitive advantage in short-term corporat",same_market,54.6,hold,low,approved_for_review,indonesia-car-rental-leasing-market-b2b-ota-dominance and car-rental-market-entry-strategy-vs-risk-analysis share a same market relationship (confidence 0.90); link with anchor 'Global Car Rental Market' [hold].,
6e9cb952-93c4-4aac-be35-c8bcee0e32e8,approved,https://www.kenresearch.com/articles/vietnam-fintech-payments-growth-profitability,https://www.kenresearch.com/industry-reports/india-mobile-payments-market,India Mobile Payments Market,contextual_body,"India didn't build a payments market , but it built payments as a public utility and then let the market build on top.",same_market,54.0,hold,low,approved_for_review,vietnam-fintech-payments-growth-profitability and india-mobile-payments-market share a same market relationship (confidence 0.90); link with anchor 'India Mobile Payments Market' [hold].,
831b3941-8f84-4716-990d-7e7e07394e70,approved,https://www.kenresearch.com/articles/southeast-asia-lubricants-market-future-2030,https://www.kenresearch.com/case-studies/lubricant-market-demand-mapping-malaysia-insights,Malaysia Lubricant Market,contextual_body,"The region's lubricant demand remains structurally intact, but its profit pools are redistributing.",global_local,53.1,hold,low,approved_for_review,southeast-asia-lubricants-market-future-2030 and lubricant-market-demand-mapping-malaysia-insights share a global local relationship (confidence 0.80); link with anchor 'Malaysia Lubricant Market' [hold].,
3c447998-5551-4534-8d95-8e28a10ef198,approved,https://www.kenresearch.com/articles/why-automation-is-cost-of-competing-malaysia-warehousing,https://www.kenresearch.com/industry-reports/vietnam-warehousing-market,Vietnam Warehousing Market,contextual_body,"Players such as Swift Haulage Berhad have outlined plans to add almost 1 million sq ft of warehouse space, while established operators, including Kellogg's and PKT Logistics, continue to expand and optimise warehousing capacity to capture rising e-commerce-led demand in Malaysia.",same_market,52.3,hold,low,approved_for_review,why-automation-is-cost-of-competing-malaysia-warehousing and vietnam-warehousing-market share a same market relationship (confidence 0.90); link with anchor 'Vietnam Warehousing Market' [hold].,
028065c9-fc14-4b57-bb66-87424c681b9b,approved,https://www.kenresearch.com/oman-business-process-outsourcing-bpo-market,https://www.kenresearch.com/vietnam-customer-experience-business-process-outsourcing-market,Vietnam Customer Experience Business Process Outsourcing Market,contextual_body,"By Service Type: The service type segmentation of the Oman BPO market includes various subsegments such as Customer Support Services, Finance and Accounting Outsourcing, Human Resource Outsourcing, IT Services Outsourcing, Data Entry and Processing Services, Marketing and Sales Outsourcing, and Othe",adjacent_market,52.2,hold,low,approved_for_review,oman-business-process-outsourcing-bpo-market and vietnam-customer-experience-business-process-outsourcing-market share a adjacent market relationship (confidence 0.85); link with anchor 'Vietnam Customer Experience Business Process Outsourcing Market' [hold].,
0cae778e-3207-434b-bcdf-7d3bf056e4c4,approved,https://www.kenresearch.com/case-studies/india-power-tools-market-intelligence-growth-plan,https://www.kenresearch.com/industry-reports/indonesia-power-tools-market,Indonesia Power Tools Market,contextual_body,"The company is recognized for its high-quality, energy-efficient power tools catering to both professional and DIY users.",case_study_support,52.2,hold,low,approved_for_review,india-power-tools-market-intelligence-growth-plan and indonesia-power-tools-market share a case study support relationship (confidence 0.75); link with anchor 'Indonesia Power Tools Market' [hold].,
ca01f2c1-6ef8-46d2-a666-13b411022ef4,approved,https://www.kenresearch.com/case-studies/fmcg-supply-chain-transformation-southeast-asia,https://www.kenresearch.com/articles/india-warehousing-market-future,India Warehousing Market Outlook,contextual_body,"Through this engagement, the client successfully transformed its warehousing model from fragmented vendor management to a data-driven, performance-optimized supplier network .",country_region,50.8,hold,low,approved_for_review,fmcg-supply-chain-transformation-southeast-asia and india-warehousing-market-future share a country region relationship (confidence 0.73); link with anchor 'India Warehousing Market' [hold].,
7cdb9775-6a3b-4333-8640-331cb736e4c7,rejected,https://www.kenresearch.com/case-studies/car-rental-market-entry-strategy-vs-risk-analysis,https://www.kenresearch.com/vietnam-car-rental-mobility-solutions-market,Vietnam Car Rental Market,contextual_body,"A global transportation solutions provider with over 9,500 locations in more than 100 countries sought to expand its car rental operations in the Netherlands.",case_study_support,64.7,hold,low,approved_for_review,car-rental-market-entry-strategy-vs-risk-analysis and vietnam-car-rental-mobility-solutions-market share a case study support relationship (confidence 0.75); link with anchor 'Vietnam Car Rental Market' [hold].,"Reject: source case study is about Netherlands expansion, while target is Vietnam car rental; placement is too indirect."
4e9288dd-8825-40d0-bc2e-1e56aa5a00d2,rejected,https://www.kenresearch.com/articles/southeast-asia-lubricants-market-future-2030,https://www.kenresearch.com/articles/uae-lubricants-market-5-players-reshaping-profitability,UAE Lubricants Market,contextual_body,The Southeast Asia lubricants market is no longer a uniform volume growth story.,global_local,64.5,hold,low,approved_for_review,southeast-asia-lubricants-market-future-2030 and uae-lubricants-market-5-players-reshaping-profitability share a global local relationship (confidence 0.80); link with anchor 'UAE Lubricants Market' [hold].,"Reject: labeled global/local, but Southeast Asia to UAE is not a clean global-local relationship; too broad for approval."
632f4747-50c3-46c1-89f2-2dcd235841d0,rejected,https://www.kenresearch.com/case-studies/qatar-catering-meal-pricing-gtm-profitability,https://www.kenresearch.com/articles/india-catering-industry-future-regional-economics,India Catering Market,contextual_body,"Despite strong demand, Qatar's catering services market is fragmented and competitive , dominated by:",same_market,62.8,hold,low,approved_for_review,qatar-catering-meal-pricing-gtm-profitability and india-catering-industry-future-regional-economics share a same market relationship (confidence 0.90); link with anchor 'India Catering Market' [hold].,Reject: Qatar catering case-study sentence does not naturally support an India catering market link.
f247a6fa-fe4d-4bef-8bbb-f0d5a927c82e,rejected,https://www.kenresearch.com/articles/southeast-asia-lubricants-market-future-2030,https://www.kenresearch.com/industry-reports/nigeria-lubricants-market,Nigeria Lubricants Market,contextual_body,"The Southeast Asia lubricants market remains firmly based on economic scale, industrial activity, and the size and usage intensity of its vehicle fleet.",report_article_support,62.4,hold,low,approved_for_review,southeast-asia-lubricants-market-future-2030 and nigeria-lubricants-market share a report article support relationship (confidence 0.75); link with anchor 'Nigeria Lubricants Market' [hold].,Reject: Southeast Asia lubricants article to Nigeria report is too geographically broad for this sentence.
79d8882b-891f-4d5a-914b-a54e71d0beed,rejected,https://www.kenresearch.com/industry-reports/indonesia-power-tools-market,https://www.kenresearch.com/case-studies/india-power-tools-market-intelligence-growth-plan,India Power Tool Market,contextual_body,Indonesia Power Tools Market Size and Overview 1.2.,same_market,62.2,hold,low,approved_for_review,indonesia-power-tools-market and india-power-tools-market-intelligence-growth-plan share a same market relationship (confidence 0.90); link with anchor 'India Power Tool Market' [hold].,"Reject: suggested placement is a heading/TOC-style sentence, not useful body context."
2fa0cd77-05bf-4fcf-a313-a75c86771364,rejected,https://www.kenresearch.com/industry-reports/nigeria-lubricants-market,https://www.kenresearch.com/articles/southeast-asia-lubricants-market-future-2030,Southeast Asia Lubricants Market,contextual_body,"The Nigeria Lubricants Market is projected to expand from USD 1,083 million in 2025 to USD 1,419 million by 2031, representing a forecast CAGR of 4.61%.",global_local,61.8,hold,low,approved_for_review,nigeria-lubricants-market and southeast-asia-lubricants-market-future-2030 share a global local relationship (confidence 0.80); link with anchor 'Southeast Asia Lubricants Market' [hold].,Reject: Nigeria to Southeast Asia lubricants is too broad for a global-local recommendation.
2534705d-9489-40f9-8fbc-4976ad27ef20,rejected,https://www.kenresearch.com/articles/uae-lubricants-market-5-players-reshaping-profitability,https://www.kenresearch.com/industry-reports/nigeria-lubricants-market,Nigeria Lubricants Market Outlook,contextual_body,"As a regional logistics hub with high fleet density and government-led industrial expansion, the UAE lubricants market reflects how structural advantages translate into sustained profitability.",report_article_support,60.7,hold,low,approved_for_review,uae-lubricants-market-5-players-reshaping-profitability and nigeria-lubricants-market share a report article support relationship (confidence 0.75); link with anchor 'Nigeria Lubricants Market' [hold].,Reject: UAE lubricants article to Nigeria report is weakly supported by the selected sentence.
60563a1d-4b5b-4236-b821-7503ffb39a11,rejected,https://www.kenresearch.com/industry-reports/vietnam-fintech-market,https://www.kenresearch.com/articles/india-fintech-early-stage-deals-ma-activity,India FinTech Market,contextual_body,"Access 2,50,000+ market research reports across 14 industries.",same_market,60.6,hold,low,approved_for_review,vietnam-fintech-market and india-fintech-early-stage-deals-ma-activity share a same market relationship (confidence 0.90); link with anchor 'India FinTech Market' [hold].,"Reject: selected sentence is generic report-library boilerplate, not contextual body content."
e29edd52-5e5f-45fd-b7ae-067c220d8f77,rejected,https://www.kenresearch.com/case-studies/india-cement-industry-benchmarking-and-brand-strategy,https://www.kenresearch.com/articles/uae-cement-market-outlook-entry-opportunity,UAE Cement Market,contextual_body,"The client wanted to gain a deep understanding of competitors' strategic positioning , operational strengths, and differentiators across India.",same_market,59.2,hold,low,approved_for_review,india-cement-industry-benchmarking-and-brand-strategy and uae-cement-market-outlook-entry-opportunity share a same market relationship (confidence 0.90); link with anchor 'UAE Cement Market' [hold].,Reject: India cement case-study sentence is competitor-positioning context and does not naturally support UAE cement.
16871f55-2066-4fcf-a490-8f0cbb82e9ee,rejected,https://www.kenresearch.com/case-studies/lubricant-market-demand-mapping-malaysia-insights,https://www.kenresearch.com/industry-reports/nigeria-lubricants-market,Nigeria Lubricants Market Analysis,contextual_body,"Between 2023 and 2024 , Malaysia's lubricants and chemicals market underwent significant change driven by industrial expansion, increased automotive demand, and rising sustainability requirements.",case_study_support,58.0,hold,low,approved_for_review,lubricant-market-demand-mapping-malaysia-insights and nigeria-lubricants-market share a case study support relationship (confidence 0.75); link with anchor 'Nigeria Lubricants Market' [hold].,Reject: Malaysia lubricant case-study sentence does not naturally support Nigeria market target.
65872ccf-edb3-4f80-8792-ab6288fadb61,rejected,https://www.kenresearch.com/articles/india-fintech-early-stage-deals-ma-activity,https://www.kenresearch.com/industry-reports/vietnam-fintech-market,Vietnam Fintech Market,contextual_body,"The operational vibrancy across M&A, IPO preparation, product launches, and regulatory alignment suggests that India's FinTech sector is not slowing down, it's leveling up .",report_article_support,56.7,hold,low,approved_for_review,india-fintech-early-stage-deals-ma-activity and vietnam-fintech-market share a report article support relationship (confidence 0.75); link with anchor 'Vietnam Fintech Market' [hold].,Reject: India fintech article sentence is too India-specific to naturally hand off to Vietnam fintech.
4c030d88-2951-482a-81f4-540327b8508f,rejected,https://www.kenresearch.com/case-studies/cost-effective-market-entry-strategy-vietnam-pharma,https://www.kenresearch.com/industry-reports/brazil-pharmaceuticals-market,Brazil Pharmaceuticals Market,contextual_body,A leading multinational professional services firm sought to expand into Vietnam's rapidly evolving pharmaceutical market.,case_study_support,56.7,hold,low,approved_for_review,cost-effective-market-entry-strategy-vietnam-pharma and brazil-pharmaceuticals-market share a case study support relationship (confidence 0.75); link with anchor 'Brazil Pharmaceuticals Market' [hold].,Reject: Vietnam pharma market-entry case study to Brazil pharmaceuticals report is too broad.
f2a10194-5377-4386-81bb-1899ff3fe7b9,rejected,https://www.kenresearch.com/case-studies/b2b-elearning-market-trends-india-it-sector,https://www.kenresearch.com/industry-reports/south-africa-e-learning-market,South Africa E-Learning Market,contextual_body,A leading not-for-profit industry association representing India's $200+ billion IT-BPM sector sought to extend its mandate into digital skilling and lifelong learning .,same_market,52.7,hold,low,approved_for_review,b2b-elearning-market-trends-india-it-sector and south-africa-e-learning-market share a same market relationship (confidence 0.90); link with anchor 'South Africa E-Learning Market' [hold].,Reject: India e-learning case-study sentence does not naturally support South Africa market target.
850babbe-cfe1-4d53-802c-4d16bc61b3b1,rejected,https://www.kenresearch.com/case-studies/india-plastic-pipes-market-outlook-2025-opportunities,https://www.kenresearch.com/articles/indonesia-plastic-pipe-market-spec-led-growth,Indonesia Plastic Pipe Market,contextual_body,The client sought to evaluate market potential for India plastic pipe industry and map regional growth opportunities across the country.,same_market,52.2,hold,low,approved_for_review,india-plastic-pipes-market-outlook-2025-opportunities and indonesia-plastic-pipe-market-spec-led-growth share a same market relationship (confidence 0.90); link with anchor 'Indonesia Plastic Pipe Market' [hold].,Reject: India plastic pipes case-study sentence does not naturally support Indonesia plastic pipe article.
6506b18d-d767-4b50-ae04-ee464c1a63c9,rejected,https://www.kenresearch.com/articles/india-warehousing-market-future,https://www.kenresearch.com/industry-reports/vietnam-warehousing-market,Vietnam Warehousing Market Outlook,contextual_body,"In contrast, Ahmedabad and Kolkata recorded lower leasing volumes, indicating that city outcomes are increasingly shaped by active industrial demand rather than historical market size.",same_market,51.8,hold,low,approved_for_review,india-warehousing-market-future and vietnam-warehousing-market share a same market relationship (confidence 0.90); link with anchor 'Vietnam Warehousing Market' [hold].,"Reject: suggested sentence discusses Indian city leasing differences, not Vietnam warehousing."
8c473f1b-56b4-4b5e-b11e-90c9d1f8e9ff,rejected,https://www.kenresearch.com/industry-reports/brazil-pharmaceuticals-market,https://www.kenresearch.com/case-studies/cost-effective-market-entry-strategy-vietnam-pharma,Vietnam Pharmaceutical Market,contextual_body,"Entry strategy evaluation, execution roadmap, partner recommendations, and profitability outlook.",same_market,50.8,hold,low,approved_for_review,brazil-pharmaceuticals-market and cost-effective-market-entry-strategy-vietnam-pharma share a same market relationship (confidence 0.90); link with anchor 'Vietnam Pharmaceutical Market' [hold].,Reject: Brazil pharmaceuticals report to Vietnam case study has only generic entry-strategy placement.
